"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6778","debería navegar a Checkboxes, verificar título, y luego a Add/Remove Elements y verificar botón","chromium","2026-07-15","passed","2026-07-15","","navigation.spec.ts","",""
"","4993","debería forzar contenido estático al hacer clic en ""click here""","chromium","2026-07-15","passed","2026-07-15","","dynamicContent.spec.ts","",""
"","4307","debería ir a la sección elegida fácilmente","chromium","2026-07-15","passed","2026-07-15","","example.spec.ts","",""
"","5356","debería cargar la página A/B Testing y mostrar título y contenido válidos","chromium","2026-07-15","passed","2026-07-15","","abTest.spec.ts","",""
"","4604","debería añadir un solo elemento y verificar que aparece exactamente un botón Delete","chromium","2026-07-15","passed","2026-07-15","","addRemoveElements.spec.ts","",""
"","4374","debería seleccionar Option 2","chromium","2026-07-15","passed","2026-07-15","","dropdown.spec.ts","",""
"","4848","debería cambiar el contenido al recargar la página","chromium","2026-07-15","passed","2026-07-15","","dynamicContent.spec.ts","",""
"","4647","debería mostrar estado inicial: checkbox1 desmarcado y checkbox2 marcado","chromium","2026-07-15","passed","2026-07-15","","checkboxes.spec.ts","",""
"","5161","debería mostrar el estado inicial sin opción seleccionada","chromium","2026-07-15","passed","2026-07-15","","dropdown.spec.ts","",""
"","5310","debería verificar el flujo completo de Dynamic Content","chromium","2026-07-15","passed","2026-07-15","","dynamicContent.spec.ts","",""
"","5188","debería añadir 3 elementos, verificar y eliminar uno","chromium","2026-07-15","passed","2026-07-15","","addRemoveElements.spec.ts","",""
"","5028","debería añadir 5 elementos y eliminarlos todos hasta dejar cero","chromium","2026-07-15","passed","2026-07-15","","addRemoveElements.spec.ts","",""
"","5174","debería poder revertir el estado: desmarcar checkbox1 y marcar checkbox2","chromium","2026-07-15","passed","2026-07-15","","checkboxes.spec.ts","",""
"","5005","debería ir a Dropdown y estar en la URL correcta","chromium","2026-07-15","passed","2026-07-15","","example.spec.ts","",""
"","6005","debería estar en la URL correcta al abrir A/B Testing","chromium","2026-07-15","passed","2026-07-15","","abTest.spec.ts","",""
"","5663","debería tener título de página que contenga The Internet","chromium","2026-07-15","passed","2026-07-15","","abTest.spec.ts","",""
"","7211","debería navegar a A/B Testing y luego a Checkboxes en la misma sesión","chromium","2026-07-15","passed","2026-07-15","","navigation.spec.ts","",""
"","4500","debería mostrar contenido dinámico con imágenes y textos","chromium","2026-07-15","passed","2026-07-15","","dynamicContent.spec.ts","",""
"","4537","debería resolver el ejercicio de checkboxes: marcar checkbox1 y desmarcar checkbox2","chromium","2026-07-15","passed","2026-07-15","","checkboxes.spec.ts","",""
"","4281","debería mostrar cero botones Delete al cargar la página","chromium","2026-07-15","passed","2026-07-15","","addRemoveElements.spec.ts","",""
"","5280","debería seleccionar Option 1","chromium","2026-07-15","passed","2026-07-15","","dropdown.spec.ts","",""
"","4438","debería poder cambiar de Option 1 a Option 2","chromium","2026-07-15","passed","2026-07-15","","dropdown.spec.ts","",""
"","5461","debería navegar a modo estático y verificar que se muestra contenido","chromium","2026-07-15","passed","2026-07-15","","dynamicContent.spec.ts","",""
